County,MSA,State,State_county,State_msa
ADAMS,DICKINSON,ND,"ND,ADAMS","ND,DICKINSON"
STUTSMAN,JAMESTOWN,ND,"ND,STUTSMAN","ND,JAMESTOWN"
LOGAN,JAMESTOWN,ND,"ND,LOGAN","ND,JAMESTOWN"
LAMOURE,JAMESTOWN,ND,"ND,LAMOURE","ND,JAMESTOWN"
FOSTER,JAMESTOWN,ND,"ND,FOSTER","ND,JAMESTOWN"
WELLS,JAMESTOWN,ND,"ND,WELLS","ND,JAMESTOWN"
RAMSEY,DEVILS LAKE,ND,"ND,RAMSEY","ND,DEVILS LAKE"
TOWNER,DEVILS LAKE,ND,"ND,TOWNER","ND,DEVILS LAKE"
BENSON,DEVILS LAKE,ND,"ND,BENSON","ND,DEVILS LAKE"
EDDY,DEVILS LAKE,ND,"ND,EDDY","ND,DEVILS LAKE"
PIERCE,DEVILS LAKE,ND,"ND,PIERCE","ND,DEVILS LAKE"
CAVALIER,DEVILS LAKE,ND,"ND,CAVALIER","ND,DEVILS LAKE"
CUYAHOGA,CLEVELAND,OH,"OH,CUYAHOGA","OH,CLEVELAND"
LAKE,CLEVELAND,OH,"OH,LAKE","OH,CLEVELAND"
GEAUGA,CLEVELAND,OH,"OH,GEAUGA","OH,CLEVELAND"
MEDINA,CLEVELAND,OH,"OH,MEDINA","OH,CLEVELAND"
LORAIN,CLEVELAND,OH,"OH,LORAIN","OH,CLEVELAND"
HAMILTON,CINCINNATI,OH,"OH,HAMILTON","OH,CINCINNATI"
BUTLER,CINCINNATI,OH,"OH,BUTLER","OH,CINCINNATI"
WARREN,CINCINNATI,OH,"OH,WARREN","OH,CINCINNATI"
CLERMONT,CINCINNATI,OH,"OH,CLERMONT","OH,CINCINNATI"
BROWN,CINCINNATI,OH,"OH,BROWN","OH,CINCINNATI"
FRANKLIN,COLUMBUS,OH,"OH,FRANKLIN","OH,COLUMBUS"
DELAWARE,COLUMBUS,OH,"OH,DELAWARE","OH,COLUMBUS"
LICKING,COLUMBUS,OH,"OH,LICKING","OH,COLUMBUS"
FAIRFIELD,COLUMBUS,OH,"OH,FAIRFIELD","OH,COLUMBUS"
PICKAWAY,COLUMBUS,OH,"OH,PICKAWAY","OH,COLUMBUS"
LUCAS,TOLEDO,OH,"OH,LUCAS","OH,TOLEDO"
WOOD,TOLEDO,OH,"OH,WOOD","OH,TOLEDO"
FULTON,TOLEDO,OH,"OH,FULTON","OH,TOLEDO"
OTTAWA,TOLEDO,OH,"OH,OTTAWA","OH,TOLEDO"
SUMMIT,AKRON,OH,"OH,SUMMIT","OH,AKRON"
PORTAGE,AKRON,OH,"OH,PORTAGE","OH,AKRON"
MONTGOMERY,DAYTON,OH,"OH,MONTGOMERY","OH,DAYTON"
GREENE,DAYTON,OH,"OH,GREENE","OH,DAYTON"
MIAMI,DAYTON,OH,"OH,MIAMI","OH,DAYTON"
MAHONING,YOUNGSTOWN,OH,"OH,MAHONING","OH,YOUNGSTOWN"
TRUMBULL,YOUNGSTOWN,OH,"OH,TRUMBULL","OH,YOUNGSTOWN"
COLUMBIANA,YOUNGSTOWN,OH,"OH,COLUMBIANA","OH,YOUNGSTOWN"
STARK,CANTON,OH,"OH,STARK","OH,CANTON"
CARROLL,CANTON,OH,"OH,CARROLL","OH,CANTON"
ALLEN,LIMA,OH,"OH,ALLEN","OH,LIMA"
AUGLAIZE,LIMA,OH,"OH,AUGLAIZE","OH,LIMA"
CLARK,SPRINGFIELD,OH,"OH,CLARK","OH,SPRINGFIELD"
CHAMPAIGN,SPRINGFIELD,OH,"OH,CHAMPAIGN","OH,SPRINGFIELD"
RICHLAND,MANSFIELD,OH,"OH,RICHLAND","OH,MANSFIELD"
ASHLAND,MANSFIELD,OH,"OH,ASHLAND","OH,MANSFIELD"
MARION,MARION,OH,"OH,MARION","OH,MARION"
CRAWFORD,MARION,OH,"OH,CRAWFORD","OH,MARION"
JEFFERSON,STEUBENVILLE,OH,"OH,JEFFERSON","OH,STEUBENVILLE"
HARRISON,STEUBENVILLE,OH,"OH,HARRISON","OH,STEUBENVILLE"
MUSKINGUM,ZANESVILLE,OH,"OH,MUSKINGUM","OH,ZANESVILLE"
MORGAN,ZANESVILLE,OH,"OH,MORGAN","OH,ZANESVILLE"
ATHENS,ATHENS,OH,"OH,ATHENS","OH,ATHENS"
MEIGS,ATHENS,OH,"OH,MEIGS","OH,ATHENS"
VINTON,ATHENS,OH,"OH,VINTON","OH,ATHENS"
ROSS,CHILLICOTHE,OH,"OH,ROSS","OH,CHILLICOTHE"
PIKE,CHILLICOTHE,OH,"OH,PIKE","OH,CHILLICOTHE"
OKLAHOMA,OKLAHOMA CITY,OK,"OK,OKLAHOMA","OK,OKLAHOMA CITY"
CLEVELAND,OKLAHOMA CITY,OK,"OK,CLEVELAND","OK,OKLAHOMA CITY"
CANADIAN,OKLAHOMA CITY,OK,"OK,CANADIAN","OK,OKLAHOMA CITY"
GRADY,OKLAHOMA CITY,OK,"OK,GRADY","OK,OKLAHOMA CITY"
LOGAN,OKLAHOMA CITY,OK,"OK,LOGAN","OK,OKLAHOMA CITY"
MCCLAIN,OKLAHOMA CITY,OK,"OK,MCCLAIN","OK,OKLAHOMA CITY"
KINGFISHER,OKLAHOMA CITY,OK,"OK,KINGFISHER","OK,OKLAHOMA CITY"
TULSA,TULSA,OK,"OK,TULSA","OK,TULSA"
ROGERS,TULSA,OK,"OK,ROGERS","OK,TULSA"
WAGONER,TULSA,OK,"OK,WAGONER","OK,TULSA"
CREEK,TULSA,OK,"OK,CREEK","OK,TULSA"
OSAGE,TULSA,OK,"OK,OSAGE","OK,TULSA"
WASHINGTON,TULSA,OK,"OK,WASHINGTON","OK,TULSA"
COMANCHE,LAWTON,OK,"OK,COMANCHE","OK,LAWTON"
COTTON,LAWTON,OK,"OK,COTTON","OK,LAWTON"
TILLMAN,LAWTON,OK,"OK,TILLMAN","OK,LAWTON"
STEPHENS,LAWTON,OK,"OK,STEPHENS","OK,LAWTON"
GARFIELD,ENID,OK,"OK,GARFIELD","OK,ENID"
GRANT,ENID,OK,"OK,GRANT","OK,ENID"
MAJOR,ENID,OK,"OK,MAJOR","OK,ENID"
CARTER,ARDMORE,OK,"OK,CARTER","OK,ARDMORE"
LOVE,ARDMORE,OK,"OK,LOVE","OK,ARDMORE"
MARSHALL,ARDMORE,OK,"OK,MARSHALL","OK,ARDMORE"
JOHNSTON,ARDMORE,OK,"OK,JOHNSTON","OK,ARDMORE"
PITTSBURG,MCALESTER,OK,"OK,PITTSBURG","OK,MCALESTER"
HASKELL,MCALESTER,OK,"OK,HASKELL","OK,MCALESTER"
LATIMER,MCALESTER,OK,"OK,LATIMER","OK,MCALESTER"
MUSKOGEE,MUSKOGEE,OK,"OK,MUSKOGEE","OK,MUSKOGEE"
MCINTOSH,MUSKOGEE,OK,"OK,MCINTOSH","OK,MUSKOGEE"
SEQUOYAH,MUSKOGEE,OK,"OK,SEQUOYAH","OK,MUSKOGEE"
POTTAWATOMIE,SHAWNEE,OK,"OK,POTTAWATOMIE","OK,SHAWNEE"
LINCOLN,SHAWNEE,OK,"OK,LINCOLN","OK,SHAWNEE"
SEMINOLE,SHAWNEE,OK,"OK,SEMINOLE","OK,SHAWNEE"
WOODWARD,WOODWARD,OK,"OK,WOODWARD","OK,WOODWARD"
HARPER,WOODWARD,OK,"OK,HARPER","OK,WOODWARD"
WOODS,WOODWARD,OK,"OK,WOODS","OK,WOODWARD"
ELLIS,WOODWARD,OK,"OK,ELLIS","OK,WOODWARD"
KAY,PONCA CITY,OK,"OK,KAY","OK,PONCA CITY"
NOBLE,PONCA CITY,OK,"OK,NOBLE","OK,PONCA CITY"
PAWNEE,PONCA CITY,OK,"OK,PAWNEE","OK,PONCA CITY"
BRYAN,DURANT,OK,"OK,BRYAN","OK,DURANT"
ATOKA,DURANT,OK,"OK,ATOKA","OK,DURANT"
CHOCTAW,DURANT,OK,"OK,CHOCTAW","OK,DURANT"
TEXAS,GUYMON,OK,"OK,TEXAS","OK,GUYMON"
BEAVER,GUYMON,OK,"OK,BEAVER","OK,GUYMON"
CIMARRON,GUYMON,OK,"OK,CIMARRON","OK,GUYMON"
CUSTER,CLINTON,OK,"OK,CUSTER","OK,CLINTON"
WASHITA,CLINTON,OK,"OK,WASHITA","OK,CLINTON"
DEWEY,CLINTON,OK,"OK,DEWEY","OK,CLINTON"
BLAINE,CLINTON,OK,"OK,BLAINE","OK,CLINTON"
OTTAWA,MIAMI,OK,"OK,OTTAWA","OK,MIAMI"
CRAIG,MIAMI,OK,"OK,CRAIG","OK,MIAMI"
DELAWARE,MIAMI,OK,"OK,DELAWARE","OK,MIAMI"
LE FLORE,POTEAU,OK,"OK,LE FLORE","OK,POTEAU"
MULTNOMAH,PORTLAND,OR,"OR,MULTNOMAH","OR,PORTLAND"
WASHINGTON,PORTLAND,OR,"OR,WASHINGTON","OR,PORTLAND"
CLACKAMAS,PORTLAND,OR,"OR,CLACKAMAS","OR,PORTLAND"
YAMHILL,PORTLAND,OR,"OR,YAMHILL","OR,PORTLAND"
COLUMBIA,PORTLAND,OR,"OR,COLUMBIA","OR,PORTLAND"
HOOD RIVER,PORTLAND,OR,"OR,HOOD RIVER","OR,PORTLAND"
WASCO,PORTLAND,OR,"OR,WASCO","OR,PORTLAND"
CLATSOP,PORTLAND,OR,"OR,CLATSOP","OR,PORTLAND"
TILLAMOOK,PORTLAND,OR,"OR,TILLAMOOK","OR,PORTLAND"
LINCOLN,PORTLAND,OR,"OR,LINCOLN","OR,PORTLAND"
LANE,EUGENE,OR,"OR,LANE","OR,EUGENE"
LINN,EUGENE,OR,"OR,LINN","OR,EUGENE"
BENTON,EUGENE,OR,"OR,BENTON","OR,EUGENE"
DOUGLAS,EUGENE,OR,"OR,DOUGLAS","OR,EUGENE"
CURRY,EUGENE,OR,"OR,CURRY","OR,EUGENE"
MARION,SALEM,OR,"OR,MARION","OR,SALEM"
POLK,SALEM,OR,"OR,POLK","OR,SALEM"
DESCHUTES,BEND,OR,"OR,DESCHUTES","OR,BEND"
JEFFERSON,BEND,OR,"OR,JEFFERSON","OR,BEND"
CROOK,BEND,OR,"OR,CROOK","OR,BEND"
WHEELER,BEND,OR,"OR,WHEELER","OR,BEND"
GRANT,BEND,OR,"OR,GRANT","OR,BEND"
JACKSON,MEDFORD,OR,"OR,JACKSON","OR,MEDFORD"
JOSEPHINE,MEDFORD,OR,"OR,JOSEPHINE","OR,MEDFORD"
KLAMATH,KLAMATH FALLS,OR,"OR,KLAMATH","OR,KLAMATH FALLS"
LAKE,KLAMATH FALLS,OR,"OR,LAKE","OR,KLAMATH FALLS"
UMATILLA,PENDLETON,OR,"OR,UMATILLA","OR,PENDLETON"
MORROW,PENDLETON,OR,"OR,MORROW","OR,PENDLETON"
GILLIAM,PENDLETON,OR,"OR,GILLIAM","OR,PENDLETON"
WALLOWA,PENDLETON,OR,"OR,WALLOWA","OR,PENDLETON"
UNION,PENDLETON,OR,"OR,UNION","OR,PENDLETON"
MALHEUR,VALE,OR,"OR,MALHEUR","OR,VALE"
HARNEY,VALE,OR,"OR,HARNEY","OR,VALE"
BAKER,VALE,OR,"OR,BAKER","OR,VALE"
PHILADELPHIA,PHILADELPHIA,PA,"PA,PHILADELPHIA","PA,PHILADELPHIA"
BUCKS,PHILADELPHIA,PA,"PA,BUCKS","PA,PHILADELPHIA"
MONTGOMERY,PHILADELPHIA,PA,"PA,MONTGOMERY","PA,PHILADELPHIA"
CHESTER,PHILADELPHIA,PA,"PA,CHESTER","PA,PHILADELPHIA"
DELAWARE,PHILADELPHIA,PA,"PA,DELAWARE","PA,PHILADELPHIA"
ALLEGHENY,PITTSBURGH,PA,"PA,ALLEGHENY","PA,PITTSBURGH"
WESTMORELAND,PITTSBURGH,PA,"PA,WESTMORELAND","PA,PITTSBURGH"
BEAVER,PITTSBURGH,PA,"PA,BEAVER","PA,PITTSBURGH"
WASHINGTON,PITTSBURGH,PA,"PA,WASHINGTON","PA,PITTSBURGH"
FAYETTE,PITTSBURGH,PA,"PA,FAYETTE","PA,PITTSBURGH"
ARMSTRONG,PITTSBURGH,PA,"PA,ARMSTRONG","PA,PITTSBURGH"
BUTLER,PITTSBURGH,PA,"PA,BUTLER","PA,PITTSBURGH"
LEHIGH,LEHIGH VALLEY,PA,"PA,LEHIGH","PA,LEHIGH VALLEY"
NORTHAMPTON,LEHIGH VALLEY,PA,"PA,NORTHAMPTON","PA,LEHIGH VALLEY"
CARBON,LEHIGH VALLEY,PA,"PA,CARBON","PA,LEHIGH VALLEY"
DAUPHIN,HARRISBURG,PA,"PA,DAUPHIN","PA,HARRISBURG"
CUMBERLAND,HARRISBURG,PA,"PA,CUMBERLAND","PA,HARRISBURG"
PERRY,HARRISBURG,PA,"PA,PERRY","PA,HARRISBURG"
LEBANON,HARRISBURG,PA,"PA,LEBANON","PA,HARRISBURG"
ERIE,ERIE,PA,"PA,ERIE","PA,ERIE"
CRAWFORD,ERIE,PA,"PA,CRAWFORD","PA,ERIE"
BERKS,READING,PA,"PA,BERKS","PA,READING"
LACKAWANNA,WILKES-BARRE,PA,"PA,LACKAWANNA","PA,WILKES-BARRE"
LUZERNE,WILKES-BARRE,PA,"PA,LUZERNE","PA,WILKES-BARRE"
LACKAWANNA,SCRANTON,PA,"PA,LACKAWANNA","PA,SCRANTON"
LUZERNE,SCRANTON,PA,"PA,LUZERNE","PA,SCRANTON"
LANCASTER,LANCASTER,PA,"PA,LANCASTER","PA,LANCASTER"
YORK,YORK,PA,"PA,YORK","PA,YORK"
CAMBRIA,JOHNSTOWN,PA,"PA,CAMBRIA","PA,JOHNSTOWN"
SOMERSET,JOHNSTOWN,PA,"PA,SOMERSET","PA,JOHNSTOWN"
BLAIR,ALTOONA,PA,"PA,BLAIR","PA,ALTOONA"
BEDFORD,ALTOONA,PA,"PA,BEDFORD","PA,ALTOONA"
CENTRE,STATE COLLEGE,PA,"PA,CENTRE","PA,STATE COLLEGE"
WESTMORELAND,GREENSBURG,PA,"PA,WESTMORELAND","PA,GREENSBURG"
LYCOMING,WILLIAMSPORT,PA,"PA,LYCOMING","PA,WILLIAMSPORT"
FRANKLIN,CHAMBERSBURG,PA,"PA,FRANKLIN","PA,CHAMBERSBURG"
MONTGOMERY,NORRISTOWN,PA,"PA,MONTGOMERY","PA,NORRISTOWN"
NORTHUMBERLAND,SUNBURY,PA,"PA,NORTHUMBERLAND","PA,SUNBURY"
FAYETTE,UNIONTOWN,PA,"PA,FAYETTE","PA,UNIONTOWN"
VENANGO,OIL CITY,PA,"PA,VENANGO","PA,OIL CITY"
WASHINGTON,WASHINGTON,PA,"PA,WASHINGTON","PA,WASHINGTON"
TIOGA,WELLSBORO,PA,"PA,TIOGA","PA,WELLSBORO"
CHESTER,WESTCHESTER,PA,"PA,CHESTER","PA,WESTCHESTER"
CLEARFIELD,DUBOIS,PA,"PA,CLEARFIELD","PA,DUBOIS"
SUSQUEHANNA,MONTROSE,PA,"PA,SUSQUEHANNA","PA,MONTROSE"
MCKEAN,BRADFORD,PA,"PA,MCKEAN","PA,BRADFORD"
ARMSTRONG,KITTANNING,PA,"PA,ARMSTRONG","PA,KITTANNING"
LAWRENCE,NEW CASTLE,PA,"PA,LAWRENCE","PA,NEW CASTLE"
SCHUYLKILL,POTTSVILLE,PA,"PA,SCHUYLKILL","PA,POTTSVILLE"
INDIANA,INDIANA,PA,"PA,INDIANA","PA,INDIANA"
BUCKS,DOYLESTOWN,PA,"PA,BUCKS","PA,DOYLESTOWN"
BUTLER,BUTLER,PA,"PA,BUTLER","PA,BUTLER"
MONROE,STROUDSBURG,PA,"PA,MONROE","PA,STROUDSBURG"
LUZERNE,HAZLETON,PA,"PA,LUZERNE","PA,HAZLETON"
PROVIDENCE,PROVIDENCE,RI,"RI,PROVIDENCE","RI,PROVIDENCE"
KENT,PROVIDENCE,RI,"RI,KENT","RI,PROVIDENCE"
BRISTOL,PROVIDENCE,RI,"RI,BRISTOL","RI,PROVIDENCE"
NEWPORT,NEWPORT,RI,"RI,NEWPORT","RI,NEWPORT"
WASHINGTON,NEWPORT,RI,"RI,WASHINGTON","RI,NEWPORT"
CHARLESTON,CHARLESTON,SC,"SC,CHARLESTON","SC,CHARLESTON"
BERKELEY,CHARLESTON,SC,"SC,BERKELEY","SC,CHARLESTON"
DORCHESTER,CHARLESTON,SC,"SC,DORCHESTER","SC,CHARLESTON"
RICHLAND,COLUMBIA,SC,"SC,RICHLAND","SC,COLUMBIA"
LEXINGTON,COLUMBIA,SC,"SC,LEXINGTON","SC,COLUMBIA"
FAIRFIELD,COLUMBIA,SC,"SC,FAIRFIELD","SC,COLUMBIA"
CALHOUN,COLUMBIA,SC,"SC,CALHOUN","SC,COLUMBIA"
KERSHAW,COLUMBIA,SC,"SC,KERSHAW","SC,COLUMBIA"
GREENVILLE,GREENVILLE,SC,"SC,GREENVILLE","SC,GREENVILLE"
PICKENS,GREENVILLE,SC,"SC,PICKENS","SC,GREENVILLE"
SPARTANBURG,SPARTANBURG,SC,"SC,SPARTANBURG","SC,SPARTANBURG"
CHEROKEE,SPARTANBURG,SC,"SC,CHEROKEE","SC,SPARTANBURG"
UNION,SPARTANBURG,SC,"SC,UNION","SC,SPARTANBURG"
FLORENCE,FLORENCE,SC,"SC,FLORENCE","SC,FLORENCE"
MARION,FLORENCE,SC,"SC,MARION","SC,FLORENCE"
DARLINGTON,FLORENCE,SC,"SC,DARLINGTON","SC,FLORENCE"
YORK,ROCK HILL,SC,"SC,YORK","SC,ROCK HILL"
BEAUFORT,BEAUFORT,SC,"SC,BEAUFORT","SC,BEAUFORT"
JASPER,BEAUFORT,SC,"SC,JASPER","SC,BEAUFORT"
AIKEN,AIKEN,SC,"SC,AIKEN","SC,AIKEN"
EDGEFIELD,AIKEN,SC,"SC,EDGEFIELD","SC,AIKEN"
MINNEHAHA,SIOUX FALLS,SD,"SD,MINNEHAHA","SD,SIOUX FALLS"
LINCOLN,SIOUX FALLS,SD,"SD,LINCOLN","SD,SIOUX FALLS"
MCCOOK,SIOUX FALLS,SD,"SD,MCCOOK","SD,SIOUX FALLS"
TURNER,SIOUX FALLS,SD,"SD,TURNER","SD,SIOUX FALLS"
PENNINGTON,RAPID CITY,SD,"SD,PENNINGTON","SD,RAPID CITY"
MEADE,RAPID CITY,SD,"SD,MEADE","SD,RAPID CITY"
CUSTER,RAPID CITY,SD,"SD,CUSTER","SD,RAPID CITY"
BROWN,ABERDEEN,SD,"SD,BROWN","SD,ABERDEEN"
MARSHALL,ABERDEEN,SD,"SD,MARSHALL","SD,ABERDEEN"
DAY,ABERDEEN,SD,"SD,DAY","SD,ABERDEEN"
EDMUNDS,ABERDEEN,SD,"SD,EDMUNDS","SD,ABERDEEN"
CODINGTON,WATERTOWN,SD,"SD,CODINGTON","SD,WATERTOWN"
HAMLIN,WATERTOWN,SD,"SD,HAMLIN","SD,WATERTOWN"
CLARK,WATERTOWN,SD,"SD,CLARK","SD,WATERTOWN"
DEUEL,WATERTOWN,SD,"SD,DEUEL","SD,WATERTOWN"
HUGHES,PIERRE,SD,"SD,HUGHES","SD,PIERRE"
STANLEY,PIERRE,SD,"SD,STANLEY","SD,PIERRE"
SULLY,PIERRE,SD,"SD,SULLY","SD,PIERRE"
DAVISON,MITCHELL,SD,"SD,DAVISON","SD,MITCHELL"
HANSON,MITCHELL,SD,"SD,HANSON","SD,MITCHELL"
SANBORN,MITCHELL,SD,"SD,SANBORN","SD,MITCHELL"
WALWORTH,MOBRIDGE,SD,"SD,WALWORTH","SD,MOBRIDGE"
CAMPBELL,MOBRIDGE,SD,"SD,CAMPBELL","SD,MOBRIDGE"
CORSON,MOBRIDGE,SD,"SD,CORSON","SD,MOBRIDGE"
DEWEY,MOBRIDGE,SD,"SD,DEWEY","SD,MOBRIDGE"
DAVIDSON,NASHVILLE,TN,"TN,DAVIDSON","TN,NASHVILLE"
WILLIAMSON,NASHVILLE,TN,"TN,WILLIAMSON","TN,NASHVILLE"
RUTHERFORD,NASHVILLE,TN,"TN,RUTHERFORD","TN,NASHVILLE"
SUMNER,NASHVILLE,TN,"TN,SUMNER","TN,NASHVILLE"
WILSON,NASHVILLE,TN,"TN,WILSON","TN,NASHVILLE"
CHEATHAM,NASHVILLE,TN,"TN,CHEATHAM","TN,NASHVILLE"
ROBERTSON,NASHVILLE,TN,"TN,ROBERTSON","TN,NASHVILLE"
SHELBY,MEMPHIS,TN,"TN,SHELBY","TN,MEMPHIS"
TIPTON,MEMPHIS,TN,"TN,TIPTON","TN,MEMPHIS"
FAYETTE,MEMPHIS,TN,"TN,FAYETTE","TN,MEMPHIS"
KNOX,KNOXVILLE,TN,"TN,KNOX","TN,KNOXVILLE"
BLOUNT,KNOXVILLE,TN,"TN,BLOUNT","TN,KNOXVILLE"
ANDERSON,KNOXVILLE,TN,"TN,ANDERSON","TN,KNOXVILLE"
SEVIER,KNOXVILLE,TN,"TN,SEVIER","TN,KNOXVILLE"
LOUDON,KNOXVILLE,TN,"TN,LOUDON","TN,KNOXVILLE"
HAMILTON,CHATTANOOGA,TN,"TN,HAMILTON","TN,CHATTANOOGA"
BRADLEY,CHATTANOOGA,TN,"TN,BRADLEY","TN,CHATTANOOGA"
MARION,CHATTANOOGA,TN,"TN,MARION","TN,CHATTANOOGA"
WASHINGTON,JOHNSON CITY,TN,"TN,WASHINGTON","TN,JOHNSON CITY"
CARTER,JOHNSON CITY,TN,"TN,CARTER","TN,JOHNSON CITY"
UNICOI,JOHNSON CITY,TN,"TN,UNICOI","TN,JOHNSON CITY"
MADISON,JACKSON,TN,"TN,MADISON","TN,JACKSON"
HAYWOOD,JACKSON,TN,"TN,HAYWOOD","TN,JACKSON"
CHESTER,JACKSON,TN,"TN,CHESTER","TN,JACKSON"
MAURY,COLUMBIA,TN,"TN,MAURY","TN,COLUMBIA"
MARSHALL,COLUMBIA,TN,"TN,MARSHALL","TN,COLUMBIA"
LEWIS,COLUMBIA,TN,"TN,LEWIS","TN,COLUMBIA"
PUTNAM,COOKEVILLE,TN,"TN,PUTNAM","TN,COOKEVILLE"
OVERTON,COOKEVILLE,TN,"TN,OVERTON","TN,COOKEVILLE"
JACKSON,COOKEVILLE,TN,"TN,JACKSON","TN,COOKEVILLE"
CARROLL,MCKENZIE,TN,"TN,CARROLL","TN,MCKENZIE"
WEAKLEY,MCKENZIE,TN,"TN,WEAKLEY","TN,MCKENZIE"
HENRY,MCKENZIE,TN,"TN,HENRY","TN,MCKENZIE"
HARRIS,HOUSTON,TX,"TX,HARRIS","TX,HOUSTON"
MONTGOMERY,HOUSTON,TX,"TX,MONTGOMERY","TX,HOUSTON"
FORT BEND,HOUSTON,TX,"TX,FORT BEND","TX,HOUSTON"
BRAZORIA,HOUSTON,TX,"TX,BRAZORIA","TX,HOUSTON"
GALVESTON,HOUSTON,TX,"TX,GALVESTON","TX,HOUSTON"
LIBERTY,HOUSTON,TX,"TX,LIBERTY","TX,HOUSTON"
CHAMBERS,HOUSTON,TX,"TX,CHAMBERS","TX,HOUSTON"
WALLER,HOUSTON,TX,"TX,WALLER","TX,HOUSTON"
DALLAS,DALLAS,TX,"TX,DALLAS","TX,DALLAS"
COLLIN,DALLAS,TX,"TX,COLLIN","TX,DALLAS"
DENTON,DALLAS,TX,"TX,DENTON","TX,DALLAS"
ROCKWALL,DALLAS,TX,"TX,ROCKWALL","TX,DALLAS"
KAUFMAN,DALLAS,TX,"TX,KAUFMAN","TX,DALLAS"
TRAVIS,AUSTIN,TX,"TX,TRAVIS","TX,AUSTIN"
WILLIAMSON,AUSTIN,TX,"TX,WILLIAMSON","TX,AUSTIN"
HAYS,AUSTIN,TX,"TX,HAYS","TX,AUSTIN"
BASTROP,AUSTIN,TX,"TX,BASTROP","TX,AUSTIN"
CALDWELL,AUSTIN,TX,"TX,CALDWELL","TX,AUSTIN"
BEXAR,SAN ANTONIO,TX,"TX,BEXAR","TX,SAN ANTONIO"
COMAL,SAN ANTONIO,TX,"TX,COMAL","TX,SAN ANTONIO"
GUADALUPE,SAN ANTONIO,TX,"TX,GUADALUPE","TX,SAN ANTONIO"
WILSON,SAN ANTONIO,TX,"TX,WILSON","TX,SAN ANTONIO"
ATASCOSA,SAN ANTONIO,TX,"TX,ATASCOSA","TX,SAN ANTONIO"
MEDINA,SAN ANTONIO,TX,"TX,MEDINA","TX,SAN ANTONIO"
TARRANT,FORT WORTH,TX,"TX,TARRANT","TX,FORT WORTH"
PARKER,FORT WORTH,TX,"TX,PARKER","TX,FORT WORTH"
WISE,FORT WORTH,TX,"TX,WISE","TX,FORT WORTH"
JOHNSON,FORT WORTH,TX,"TX,JOHNSON","TX,FORT WORTH"
EL PASO,EL PASO,TX,"TX,EL PASO","TX,EL PASO"
LUBBOCK,LUBBOCK,TX,"TX,LUBBOCK","TX,LUBBOCK"
CROSBY,LUBBOCK,TX,"TX,CROSBY","TX,LUBBOCK"
NUECES,CORPUS CHRISTI,TX,"TX,NUECES","TX,CORPUS CHRISTI"
SAN PATRICIO,CORPUS CHRISTI,TX,"TX,SAN PATRICIO","TX,CORPUS CHRISTI"
ARANSAS,CORPUS CHRISTI,TX,"TX,ARANSAS","TX,CORPUS CHRISTI"
KLEBERG,CORPUS CHRISTI,TX,"TX,KLEBERG","TX,CORPUS CHRISTI"
HIDALGO,MCALLEN,TX,"TX,HIDALGO","TX,MCALLEN"
POTTER,AMARILLO,TX,"TX,POTTER","TX,AMARILLO"
RANDALL,AMARILLO,TX,"TX,RANDALL","TX,AMARILLO"
JEFFERSON,BEAUMONT,TX,"TX,JEFFERSON","TX,BEAUMONT"
ORANGE,BEAUMONT,TX,"TX,ORANGE","TX,BEAUMONT"
HARDIN,BEAUMONT,TX,"TX,HARDIN","TX,BEAUMONT"
WEBB,LAREDO,TX,"TX,WEBB","TX,LAREDO"
BROWN,BROWNWOOD,TX,"TX,BROWN","TX,BROWNWOOD"
MIDLAND,MIDLAND,TX,"TX,MIDLAND","TX,MIDLAND"
MARTIN,MIDLAND,TX,"TX,MARTIN","TX,MIDLAND"
GALVESTON,GALVESTON,TX,"TX,GALVESTON","TX,GALVESTON"
GREGG,LONGVIEW,TX,"TX,GREGG","TX,LONGVIEW"
RUSK,LONGVIEW,TX,"TX,RUSK","TX,LONGVIEW"
UPSHUR,LONGVIEW,TX,"TX,UPSHUR","TX,LONGVIEW"
MCLENNAN,WACO,TX,"TX,MCLENNAN","TX,WACO"
FALLS,WACO,TX,"TX,FALLS","TX,WACO"
SMITH,TYLER,TX,"TX,SMITH","TX,TYLER"
WOOD,TYLER,TX,"TX,WOOD","TX,TYLER"
BRAZOS,BRYAN,TX,"TX,BRAZOS","TX,BRYAN"
BURLESON,BRYAN,TX,"TX,BURLESON","TX,BRYAN"
TAYLOR,ABILENE,TX,"TX,TAYLOR","TX,ABILENE"
JONES,ABILENE,TX,"TX,JONES","TX,ABILENE"
WICHITA,WICHITA FALLS,TX,"TX,WICHITA","TX,WICHITA FALLS"
ARCHER,WICHITA FALLS,TX,"TX,ARCHER","TX,WICHITA FALLS"
DENTON,DENTON,TX,"TX,DENTON","TX,DENTON"
VICTORIA,VICTORIA,TX,"TX,VICTORIA","TX,VICTORIA"
GOLIAD,VICTORIA,TX,"TX,GOLIAD","TX,VICTORIA"
BOWIE,TEXARKANA,TX,"TX,BOWIE","TX,TEXARKANA"
TOM GREEN,SAN ANGELO,TX,"TX,TOM GREEN","TX,SAN ANGELO"
ANGELINA,LUFKIN,TX,"TX,ANGELINA","TX,LUFKIN"
ANDERSON,PALESTINE,TX,"TX,ANDERSON","TX,PALESTINE"
BELL,TEMPLE,TX,"TX,BELL","TX,TEMPLE"
COLLIN,MCKINNEY,TX,"TX,COLLIN","TX,MCKINNEY"
